;#	通用字体	部首	総画数	読み
2076	林	075木	8	リン、はやし
2077	厘	027厂	9	リン
2078	倫	009人	10	リン
2079	輪	159車	15	リン、わ
2080	隣	170阜	16	リン、とな-る、となり
2081	臨	131臣	18	リン、のぞ-む
2082	瑠	096玉	14	ル
2083	涙	085水	10	ルイ、なみだ
2084	累	120糸	11	ルイ
2085	塁	032土	12	ルイ
2086	類	181頁	18	ルイ、たぐ-い
2087	令	009人	5	レイ
2088	礼	113示	5	レイ、ライ
2089	冷	015冫	7	レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
2090	励	019力	7	レイ、はげ-む、はげ-ます
2091	戻	063?	7	レイ、もど-す、もど-る
2092	例	009人	8	レイ、たと-える
2093	鈴	167金	13	レイ、リン、すず
2094	零	173雨	13	レイ
2095	霊	173雨	15	レイ、リョウ、たま
2096	隷	171隶	16	レイ
2097	齢	211齒	17	レイ
2098	麗	198鹿	19	レイ、うるわ-しい
2099	暦	072日	14	レキ、こよみ
2100	歴	077止	14	レキ
2101	列	018刀	6	レツ
2102	劣	019力	6	レツ、おと-る
2103	烈	086火	10	レツ
2104	裂	145衣	12	レツ、さ-く、さ-ける
2105	恋	061心	10	レン、こ-う、こい、こい-しい
2106	連	162?	10	レン、つら-なる、つら-ねる、つ-れる
2107	廉	053广	13	レン
2108	練	120糸	14	レン、ね-る
2109	錬	167金	16	レン
2110	呂	030口	7	ロ
2111	炉	086火	8	ロ
2112	賂	154貝	13	ロ
2113	路	157足	13	ロ、じ
2114	露	173雨	21	ロ、（ロウ）、つゆ
2115	老	125老	6	ロウ、お-いる、ふ-ける
2116	労	019力	7	ロウ
2117	弄	055廾	7	ロウ、もてあそ-ぶ
2118	郎	163邑	9	ロウ
2119	朗	074月	10	ロウ、ほが-らか
2120	浪	085水	10	ロウ
2121	廊	053广	12	ロウ
2122	楼	075木	13	ロウ
2123	漏	085水	14	ロウ、も-る、も-れる、も-らす
2124	籠	118竹	22	ロウ、かご、こ-もる
2125	六	012八	4	ロク、む、む-つ、むっ-つ、（むい）
2126	録	167金	16	ロク
2127	麓	198鹿	19	ロク、ふもと
2128	論	149言	15	ロン
2129	和	030口	8	ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか
2130	話	149言	13	ワ、はな-す、はなし
2131	賄	154貝	13	ワイ、まかな-う
2132	脇	130肉	10	わき
2133	惑	061心	12	ワク、まど-う
2134	枠	075木	8	わく
2135	湾	085水	12	ワン
2136	腕	130肉	12	ワン、うで
