; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・常用漢字表』片山博文MZ
; "MZ-IME Japanese Input, The Common Use Kanji Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
;漢字ID	漢字	部首ID	総画数	読み
1499	冬	015	5	トウ、ふゆ
1500	灯	086	6	トウ、ひ
1501	当	102	6	トウ、あ-たる、あ-てる
1502	投	064	7	トウ、な-げる
1503	豆	151	7	トウ、ズ、まめ
1504	東	075	8	トウ、ひがし
1505	到	018	8	トウ
1506	逃	162	9	トウ、に-げる、に-がす、のが-す、のが-れる
1507	倒	009	10	トウ、たお-れる、たお-す
1508	凍	015	10	トウ、こお-る、こご-える
1509	唐	030	10	トウ、から
1510	島	046	10	トウ、しま
1511	桃	075	10	トウ、もも
1512	討	149	10	トウ、う-つ
1513	透	162	10	トウ、す-く、す-かす、す-ける
1514	党	203	10	トウ
1515	悼	061	11	トウ、いた-む
1516	盗	108	11	トウ、ぬす-む
1517	陶	170	11	トウ
1518	塔	032	12	トウ
1519	搭	064	12	トウ
1520	棟	075	12	トウ、むね、むな
1521	湯	085	12	トウ、ゆ
1522	痘	104	12	トウ
1523	登	105	12	トウ、ト、のぼ-る
1524	答	118	12	トウ、こた-える、こた-え
1525	等	118	12	トウ、ひと-しい
1526	筒	118	12	トウ、つつ
1527	統	120	12	トウ、す-べる
1528	稲	115	14	トウ、いね、いな
1529	踏	157	15	トウ、ふ-む、ふ-まえる
1530	糖	119	16	トウ
1531	頭	181	16	トウ、ズ、ト、あたま、かしら
1532	謄	149	17	トウ
1533	藤	140	18	トウ、ふじ
1534	闘	191	18	トウ、たたか-う
1535	騰	187	20	トウ
1536	同	030	6	ドウ、おな-じ
1537	洞	085	9	ドウ、ほら
1538	胴	130	10	ドウ
1539	動	019	11	ドウ、うご-く、うご-かす
1540	堂	032	11	ドウ
1541	童	117	12	ドウ、わらべ
1542	道	162	12	ドウ、トウ、みち
1543	働	009	13	ドウ、はたら-く
1544	銅	167	14	ドウ
1545	導	041	15	ドウ、みちび-く
1546	瞳	109	17	ドウ、ひとみ
1547	峠	046	9	とうげ
1548	匿	023	10	トク
1549	特	093	10	トク
1550	得	060	11	トク、え-る、う-る
1551	督	109	13	トク
1552	徳	060	14	トク
1553	篤	118	16	トク
1554	毒	080	8	ドク
1555	独	094	9	ドク、ひと-り
1556	読	149	14	ドク、トク、トウ、よ-む
1557	栃	075	9	とち[6]
1558	凸	017	5	トツ
1559	突	116	8	トツ、つ-く
1560	届	044	8	とど-ける、とど-く
1561	屯	045	4	トン
1562	豚	152	11	トン、ぶた
1563	頓	181	13	トン
1564	貪	154	11	ドン、むさぼ-る
1565	鈍	167	12	ドン、にぶ-い、にぶ-る
1566	曇	072	16	ドン、くも-る
1567	丼	003	5	どんぶり、どん
1568	那	163	7	ナ
1569	奈	037	8	ナ
1570	内	011	4	ナイ、ダイ、うち
1571	梨	075	11	なし
1572	謎	149	17	なぞ
1573	鍋	167	17	なべ
1574	南	024	9	ナン、ナ、みなみ
1575	軟	159	11	ナン、やわ-らか、やわ-らかい
1576	難	172	18	ナン、かた-い、むずか-しい
1577	二	007	2	ニ、ふた、ふた-つ
1578	尼	044	5	ニ、あま
1579	弐	154	6	ニ
1580	匂	020	4	にお-う
1581	肉	130	6	ニク
1582	虹	142	9	にじ
1583	日	072	4	ニチ、ジツ、ひ、か
1584	入	011	2	ニュウ、い-る、い-れる、はい-る
1585	乳	005	8	ニュウ、ちち、ち
1586	尿	044	7	ニョウ
1587	任	009	6	ニン、まか-せる、まか-す
1588	妊	038	7	ニン
1589	忍	061	7	ニン、しの-ぶ、しの-ばせる
1590	認	149	14	ニン、みと-める
1591	寧	040	14	ネイ
1592	熱	086	15	ネツ、あつ-い
1593	年	051	6	ネン、とし
1594	念	061	8	ネン
1595	捻	064	11	ネン
1596	粘	119	11	ネン、ねば-る
1597	燃	086	16	ネン、も-える、も-やす、も-す
1598	悩	061	10	ノウ、なや-む、なや-ます
1599	納	120	10	ノウ、ナッ、ナ、ナン、トウ、おさ-める、おさ-まる
1600	能	130	10	ノウ
1601	脳	130	11	ノウ
1602	農	161	13	ノウ
1603	濃	085	16	ノウ、こ-い
1604	把	064	7	ハ
1605	波	085	8	ハ、なみ
1606	派	085	9	ハ
1607	破	112	10	ハ、やぶ-る、やぶ-れる
1608	覇	146	19	ハ
1609	馬	187	10	バ、うま、ま
1610	婆	038	11	バ
1611	罵	122	15	バ、ののし-る
1612	拝	064	8	ハイ、おが-む
1613	杯	075	8	ハイ、さかずき
1614	背	130	9	ハイ、せ、せい、そむ-く、そむ-ける
1615	肺	130	9	ハイ
1616	俳	009	10	ハイ
1617	配	164	10	ハイ、くば-る
1618	排	064	11	ハイ
1619	敗	066	11	ハイ、やぶ-れる
1620	廃	053	12	ハイ、すた-れる、すた-る
1621	輩	159	15	ハイ
1622	売	154	7	バイ、う-る、う-れる
1623	倍	009	10	バイ
1624	梅	075	10	バイ、うめ
1625	培	032	11	バイ、つちか-う
1626	陪	170	11	バイ
1627	媒	038	12	バイ
1628	買	154	12	バイ、か-う
1629	賠	154	15	バイ
1630	白	106	5	ハク、ビャク、しろ、しら、しろ-い
1631	伯	009	7	ハク
1632	拍	064	8	ハク、ヒョウ
1633	泊	085	8	ハク、と-まる、と-める
1634	迫	162	8	ハク、せま-る
1635	剥	018	10	ハク、は-がす、は-ぐ、は-がれる、は-げる
1636	舶	137	11	ハク
1637	博	024	12	ハク、バク
1638	薄	140	16	ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
1639	麦	199	7	バク、むぎ
1640	漠	085	13	バク
1641	縛	120	16	バク、しば-る
1642	爆	086	19	バク
1643	箱	118	15	はこ
1644	箸	118	15	はし
1645	畑	102	9	はた、はたけ
1646	肌	130	6	はだ
1647	八	012	2	ハチ、や、や-つ、やっ-つ、よう
1648	鉢	167	13	ハチ、ハツ
1649	発	105	9	ハツ、ホツ
1650	髪	190	14	ハツ、かみ
1651	伐	009	6	バツ
1652	抜	064	7	バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
1653	罰	122	14	バツ、バチ
1654	閥	169	14	バツ
1655	反	029	4	ハン、ホン、タン、そ-る、そ-らす
1656	半	024	5	ハン、なか-ば
1657	氾	085	5	ハン
1658	犯	094	5	ハン、おか-す
1659	帆	050	6	ハン、ほ
1660	汎	085	6	ハン
1661	伴	009	7	ハン、バン、ともな-う
1662	判	018	7	ハン、バン
1663	坂	032	7	ハン、さか
1664	阪	170	7	ハン
1665	板	075	8	ハン、バン、いた
1666	版	091	8	ハン
1667	班	096	10	ハン
1668	畔	102	10	ハン
1669	般	137	10	ハン
1670	販	154	11	ハン
1671	斑	067	12	ハン
1672	飯	184	12	ハン、めし
1673	搬	064	13	ハン
1674	煩	086	13	ハン、ボン、わずら-う、わずら-わす
1675	頒	181	13	ハン
1676	範	118	15	ハン
1677	繁	120	16	ハン
1678	藩	140	18	ハン
1679	晩	072	12	バン
1680	番	102	12	バン
1681	蛮	142	12	バン
1682	盤	108	15	バン
1683	比	081	4	ヒ、くら-べる
1684	皮	107	5	ヒ、かわ
1685	妃	038	6	ヒ
1686	否	030	7	ヒ、いな
1687	批	064	7	ヒ
1688	彼	060	8	ヒ、かれ、かの
1689	披	064	8	ヒ
1690	肥	130	8	ヒ、こ-える、こえ、こ-やす、こ-やし
1691	非	175	8	ヒ
1692	卑	024	9	ヒ、いや-しい、いや-しむ、いや-しめる
1693	飛	183	9	ヒ、と-ぶ、と-ばす
1694	疲	104	10	ヒ、つか-れる
1695	秘	113	10	ヒ、ひ-める
1696	被	145	10	ヒ、こうむ-る
1697	悲	061	12	ヒ、かな-しい、かな-しむ
1698	扉	063	12	ヒ、とびら
1699	費	154	12	ヒ、つい-やす、つい-える
1700	碑	112	14	ヒ
1701	罷	122	15	ヒ
1702	避	162	16	ヒ、さ-ける
1703	尾	044	7	ビ、お
1704	眉	109	9	ビ、ミ、まゆ
1705	美	123	9	ビ、うつく-しい
1706	備	009	12	ビ、そな-える、そな-わる
1707	微	060	13	ビ
1708	鼻	209	14	ビ、はな
1709	膝	130	15	ひざ
1710	肘	130	7	ひじ
1711	匹	023	4	ヒツ、ひき
1712	必	061	5	ヒツ、かなら-ず
1713	泌	085	8	ヒツ、ヒ
1714	筆	118	12	ヒツ、ふで
1715	姫	038	10	ひめ
1716	百	106	6	ヒャク
1717	氷	085	5	ヒョウ、こおり、ひ
1718	表	145	8	ヒョウ、おもて、あらわ-す、あらわ-れる
1719	俵	009	10	ヒョウ、たわら
1720	票	113	11	ヒョウ
1721	評	149	12	ヒョウ
1722	漂	085	14	ヒョウ、ただよ-う
1723	標	075	15	ヒョウ
1724	苗	140	8	ビョウ、なえ、なわ
1725	秒	115	9	ビョウ
1726	病	104	10	ビョウ、ヘイ、や-む、やまい
1727	描	064	11	ビョウ、えが-く、か-く
1728	猫	094	11	ビョウ、ねこ
1729	品	030	9	ヒン、しな
1730	浜	085	10	ヒン、はま
1731	貧	154	11	ヒン、ビン、まず-しい
1732	賓	154	15	ヒン
1733	頻	181	17	ヒン
1734	敏	066	10	ビン
1735	瓶	098	11	ビン
1736	不	001	4	フ、ブ
1737	夫	037	4	フ、フウ、おっと
1738	父	088	4	フ、ちち
1739	付	009	5	フ、つ-ける、つ-く
1740	布	050	5	フ、ぬの
1741	扶	064	7	フ
1742	府	053	8	フ
1743	怖	061	8	フ、こわ-い
1744	阜	170	8	フ[6]
1745	附	170	8	フ
1746	訃	149	9	フ
1747	負	154	9	フ、ま-ける、ま-かす、お-う
1748	赴	156	9	フ、おもむ-く
1749	浮	085	10	フ、う-く、う-かれる、う-かぶ、う-かべる
1750	婦	038	11	フ
1751	符	118	11	フ
1752	富	040	12	フ、フウ、と-む、とみ
1753	普	072	12	フ
1754	腐	130	14	フ、くさ-る、くさ-れる、くさ-らす
1755	敷	066	15	フ、し-く
1756	膚	130	15	フ
1757	賦	154	15	フ
1758	譜	149	19	フ
1759	侮	009	8	ブ、あなど-る
1760	武	077	8	ブ、ム
1761	部	163	11	ブ
1762	舞	136	15	ブ、ま-う、まい
1763	封	041	9	フウ、ホウ
1764	風	182	9	フウ、フ、かぜ、かざ
1765	伏	009	6	フク、ふ-せる、ふ-す
1766	服	074	8	フク
1767	副	018	11	フク
1768	幅	050	12	フク、はば
1769	復	060	12	フク
1770	福	113	13	フク
1771	腹	130	13	フク、はら
1772	複	145	14	フク
1773	覆	146	18	フク、おお-う、くつがえ-す、くつがえ-る
1774	払	064	5	フツ、はら-う
1775	沸	085	8	フツ、わ-く、わ-かす
1776	仏	009	4	ブツ、ほとけ
1777	物	093	8	ブツ、モツ、もの
1778	粉	119	10	フン、こ、こな
1779	紛	120	10	フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
1780	雰	173	12	フン
1781	噴	030	15	フン、ふ-く
1782	墳	032	15	フン
1783	憤	061	15	フン、いきどお-る
1784	奮	037	16	フン、ふる-う
1785	分	018	4	ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
1786	文	067	4	ブン、モン、ふみ
1787	聞	128	14	ブン、モン、き-く、き-こえる
1788	丙	001	5	ヘイ
1789	平	051	5	ヘイ、ビョウ、たい-ら、ひら
1790	兵	012	7	ヘイ、ヒョウ
1791	併	009	8	ヘイ、あわ-せる
1792	並	117	8	ヘイ、なみ、なら-べる、なら-ぶ、なら-びに
1793	柄	075	9	ヘイ、がら、え
1794	陛	170	10	ヘイ
1795	閉	169	11	ヘイ、と-じる、と-ざす、し-める、し-まる
1796	塀	032	12	ヘイ
1797	幣	050	15	ヘイ
1798	弊	055	15	ヘイ
1799	蔽	140	15	ヘイ
1800	餅	184	15	ヘイ、もち
1801	米	119	6	ベイ、マイ、こめ
1802	壁	032	16	ヘキ、かべ
1803	璧	096	18	ヘキ
1804	癖	104	18	ヘキ、くせ
1805	別	018	7	ベツ、わか-れる
1806	蔑	140	14	ベツ、さげす-む
1807	片	091	4	ヘン、かた
1808	辺	162	5	ヘン、あた-り、べ
1809	返	162	7	ヘン、かえ-す、かえ-る
1810	変	149	9	ヘン、か-わる、か-える
1811	偏	009	11	ヘン、かたよ-る
1812	遍	162	12	ヘン
1813	編	120	15	ヘン、あ-む
1814	弁	160	5	ベン
1815	便	009	9	ベン、ビン、たよ-り
1816	勉	019	10	ベン
1817	歩	077	8	ホ、ブ、フ、ある-く、あゆ-む
1818	保	009	9	ホ、たも-つ
1819	哺	030	10	ホ
1820	捕	064	10	ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
1821	補	145	12	ホ、おぎな-う
1822	舗	135	15	ホ
1823	母	080	5	ボ、はは
1824	募	019	12	ボ、つの-る
1825	墓	032	13	ボ、はか
1826	慕	061	14	ボ、した-う
1827	暮	072	14	ボ、く-れる、く-らす
1828	簿	118	19	ボ
1829	方	070	4	ホウ、かた
1830	包	020	5	ホウ、つつ-む
1831	芳	140	7	ホウ、かんば-しい
1832	邦	163	7	ホウ
1833	奉	037	8	ホウ、ブ、たてまつ-る
1834	宝	040	8	ホウ、たから
1835	抱	064	8	ホウ、だ-く、いだ-く、かか-える
1836	放	066	8	ホウ、はな-す、はな-つ、はな-れる、ほう-る
1837	法	085	8	ホウ、ハッ、ホッ
1838	泡	085	8	ホウ、あわ
1839	胞	130	9	ホウ
1840	俸	009	10	ホウ
1841	倣	009	10	ホウ、なら-う
1842	峰	046	10	ホウ、みね
1843	砲	112	10	ホウ
1844	崩	046	11	ホウ、くず-れる、くず-す
1845	訪	149	11	ホウ、おとず-れる、たず-ねる
1846	報	032	12	ホウ、むく-いる
1847	蜂	142	13	ホウ、はち
1848	豊	151	13	ホウ、ゆた-か
1849	飽	184	13	ホウ、あ-きる、あ-かす
1850	褒	145	15	ホウ、ほ-める
1851	縫	120	16	ホウ、ぬ-う
1852	亡	008	3	ボウ、モウ、な-い
1853	乏	004	4	ボウ、とぼ-しい
1854	忙	061	6	ボウ、いそが-しい
1855	坊	032	7	ボウ、ボッ
1856	妨	038	7	ボウ、さまた-げる
1857	忘	061	7	ボウ、わす-れる
1858	防	170	7	ボウ、ふせ-ぐ
1859	房	063	8	ボウ、ふさ
1860	肪	130	8	ボウ
1861	某	075	9	ボウ
1862	冒	013	9	ボウ、おか-す
1863	剖	018	10	ボウ
1864	紡	120	10	ボウ、つむ-ぐ
1865	望	074	11	ボウ、モウ、のぞ-む
1866	傍	009	12	ボウ、かたわ-ら
1867	帽	050	12	ボウ
1868	棒	075	12	ボウ
1869	貿	154	12	ボウ
1870	貌	153	14	ボウ
1871	暴	072	15	ボウ、バク、あば-く、あば-れる
1872	膨	130	16	ボウ、ふく-らむ、ふく-れる
1873	謀	149	16	ボウ、ム、はか-る
1874	頬	181	16	ほお
1875	北	021	5	ホク、きた
1876	木	075	4	ボク、モク、き、こ
1877	朴	075	6	ボク
1878	牧	093	8	ボク、まき
1879	睦	109	13	ボク
1880	僕	009	14	ボク
1881	墨	032	14	ボク、すみ
1882	撲	064	15	ボク
1883	没	085	7	ボツ
1884	勃	019	9	ボツ
1885	堀	032	11	ほり
1886	本	075	5	ホン、もと
1887	奔	037	8	ホン
1888	翻	183	18	ホン、ひるがえ-る、ひるがえ-す
1889	凡	016	3	ボン、ハン
1890	盆	108	9	ボン
1891	麻	200	11	マ、あさ
1892	摩	064	15	マ
1893	磨	112	16	マ、みが-く
1894	魔	194	21	マ
1895	毎	080	6	マイ
1896	妹	038	8	マイ、いもうと
1897	枚	075	8	マイ
1898	昧	072	9	マイ
1899	埋	032	10	マイ、う-める、う-まる、う-もれる
1900	幕	050	13	マク、バク
1901	膜	130	14	マク
1902	枕	075	8	まくら
1903	又	029	2	また
1904	末	075	5	マツ、バツ、すえ
1905	抹	064	8	マツ
1906	万	140	3	マン、バン
1907	満	085	12	マン、み-ちる、み-たす
1908	慢	061	14	マン
1909	漫	085	14	マン
1910	未	075	5	ミ
1911	味	030	8	ミ、あじ、あじ-わう
1912	魅	194	15	ミ
1913	岬	046	8	みさき
1914	密	040	11	ミツ
1915	蜜	142	14	ミツ
1916	脈	130	10	ミャク
1917	妙	038	7	ミョウ
1918	民	083	5	ミン、たみ
1919	眠	109	10	ミン、ねむ-る、ねむ-い
1920	矛	110	5	ム、ほこ
1921	務	019	11	ム、つと-める、つと-まる
1922	無	086	12	ム、ブ、な-い
1923	夢	036	13	ム、ゆめ
1924	霧	173	19	ム、きり
1925	娘	038	10	むすめ
1926	名	030	6	メイ、ミョウ、な
1927	命	030	8	メイ、ミョウ、いのち
1928	明	072	8	メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
1929	迷	162	9	メイ、まよ-う
1930	冥	014	10	メイ、ミョウ
1931	盟	108	13	メイ
1932	銘	167	14	メイ
1933	鳴	196	14	メイ、な-く、な-る、な-らす
1934	滅	085	13	メツ、ほろ-びる、ほろ-ぼす
1935	免	010	8	メン、まぬか-れる
1936	面	176	9	メン、おも、おもて、つら
1937	綿	120	14	メン、わた
1938	麺	199	16	メン
1939	茂	140	8	モ、しげ-る
1940	模	075	14	モ、ボ
1941	毛	082	4	モウ、け
1942	妄	038	6	モウ、ボウ
1943	盲	109	8	モウ
1944	耗	127	10	モウ、コウ
1945	猛	094	11	モウ
1946	網	120	14	モウ、あみ
1947	目	109	5	モク、ボク、め、ま
1948	黙	203	15	モク、だま-る
1949	門	169	8	モン、かど
1950	紋	120	10	モン
1951	問	030	11	モン、と-う、と-い、とん
1952	冶	015	7	ヤ
1953	夜	036	8	ヤ、よ、よる
1954	野	166	11	ヤ、の
1955	弥	057	8	や
1956	厄	027	4	ヤク
1957	役	060	7	ヤク、エキ
1958	約	120	9	ヤク
1959	訳	149	11	ヤク、わけ
1960	薬	140	16	ヤク、くすり
1961	躍	157	21	ヤク、おど-る
1962	闇	169	17	やみ
1963	由	102	5	ユ、ユウ、ユイ、よし
1964	油	085	8	ユ、あぶら
1965	喩	030	12	ユ
1966	愉	061	12	ユ
1967	諭	149	16	ユ、さと-す
1968	輸	159	16	ユ
1969	癒	104	18	ユ、い-える、い-やす
1970	唯	030	11	ユイ、イ
1971	友	029	4	ユウ、とも
1972	有	074	6	ユウ、ウ、あ-る
1973	勇	019	9	ユウ、いさ-む
1974	幽	052	9	ユウ
1975	悠	061	11	ユウ
1976	郵	163	11	ユウ
1977	湧	085	12	ユウ、わ-く
1978	猶	094	12	ユウ
1979	裕	145	12	ユウ
1980	遊	162	12	ユウ、ユ、あそ-ぶ
1981	雄	172	12	ユウ、お、おす
1982	誘	149	14	ユウ、さそ-う
1983	憂	061	15	ユウ、うれ-える、うれ-い、う-い
1984	融	142	16	ユウ
1985	優	009	17	ユウ、やさ-しい、すぐ-れる
1986	与	134	3	ヨ、あた-える
1987	予	152	4	ヨ
1988	余	184	7	ヨ、あま-る、あま-す
1989	誉	149	13	ヨ、ほま-れ
1990	預	181	13	ヨ、あず-ける、あず-かる
1991	幼	052	5	ヨウ、おさな-い
1992	用	101	5	ヨウ、もち-いる
1993	羊	123	6	ヨウ、ひつじ
1994	妖	038	7	ヨウ、あや-しい
1995	洋	085	9	ヨウ
1996	要	146	9	ヨウ、かなめ、い-る
1997	容	040	10	ヨウ
1998	庸	053	11	ヨウ
1999	揚	064	12	ヨウ、あ-げる、あ-がる
2000	揺	064	12	ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
2001	葉	140	12	ヨウ、は
2002	陽	170	12	ヨウ
2003	溶	085	13	ヨウ、と-ける、と-かす、と-く
2004	腰	130	13	ヨウ、こし
2005	様	075	14	ヨウ、さま
2006	瘍	104	14	ヨウ
2007	踊	157	14	ヨウ、おど-る、おど-り
2008	窯	116	15	ヨウ、かま
2009	養	184	15	ヨウ、やしな-う
2010	擁	064	16	ヨウ
2011	謡	149	16	ヨウ、うたい、うた-う
2012	曜	072	18	ヨウ
2013	抑	064	7	ヨク、おさ-える
2014	沃	085	7	ヨク
2015	浴	085	10	ヨク、あ-びる、あ-びせる
2016	欲	076	11	ヨク、ほっ-する、ほ-しい
2017	翌	124	11	ヨク
2018	翼	124	17	ヨク、つばさ
2019	拉	064	8	ラ
2020	裸	145	13	ラ、はだか
2021	羅	122	19	ラ
2022	来	009	7	ライ、く-る、きた-る、きた-す
2023	雷	173	13	ライ、かみなり
2024	頼	154	16	ライ、たの-む、たの-もしい、たよ-る
2025	絡	120	12	ラク、から-む、から-まる、から-める
2026	落	140	12	ラク、お-ちる、お-とす
2027	酪	164	13	ラク
2028	辣	160	14	ラツ
2029	乱	005	7	ラン、みだ-れる、みだ-す
2030	卵	026	7	ラン、たまご
2031	覧	147	17	ラン
2032	濫	085	18	ラン
2033	藍	140	18	ラン、あい
2034	欄	075	20	ラン
2035	吏	030	6	リ
2036	利	018	7	リ、き-く
2037	里	166	7	リ、さと
2038	理	096	11	リ
2039	痢	104	12	リ
2040	裏	145	13	リ、うら
2041	履	044	15	リ、は-く
2042	璃	096	15	リ
2043	離	172	19	リ、はな-れる、はな-す
2044	陸	170	11	リク
2045	立	117	5	リツ、リュウ、た-つ、た-てる
2046	律	060	9	リツ、リチ
2047	慄	061	13	リツ
2048	略	102	11	リャク
2049	柳	075	9	リュウ、やなぎ
2050	流	085	10	リュウ、ル、なが-れる、なが-す
2051	留	102	10	リュウ、ル、と-める、と-まる
2052	竜	212	10	リュウ、たつ
2053	粒	119	11	リュウ、つぶ
2054	隆	170	11	リュウ
2055	硫	112	12	リュウ
2056	侶	009	9	リョ
2057	旅	070	10	リョ、たび
2058	虜	141	13	リョ
2059	慮	061	15	リョ
2060	了	006	2	リョウ
2061	両	011	6	リョウ
2062	良	138	7	リョウ、よ-い
2063	料	068	10	リョウ
2064	涼	085	11	リョウ、すず-しい、すず-む
2065	猟	094	11	リョウ
2066	陵	170	11	リョウ、みささぎ
2067	量	166	12	リョウ、はか-る
2068	僚	009	14	リョウ
2069	領	181	14	リョウ
2070	寮	040	15	リョウ
2071	療	104	17	リョウ
2072	瞭	109	17	リョウ
2073	糧	119	18	リョウ、ロウ、かて
2074	力	019	2	リョク、リキ、ちから
2075	緑	120	14	リョク、ロク、みどり
2076	林	075	8	リン、はやし
2077	厘	027	9	リン
2078	倫	009	10	リン
2079	輪	159	15	リン、わ
2080	隣	170	16	リン、とな-る、となり
2081	臨	131	18	リン、のぞ-む
2082	瑠	096	14	ル
2083	涙	085	10	ルイ、なみだ
2084	累	120	11	ルイ
2085	塁	032	12	ルイ
2086	類	181	18	ルイ、たぐ-い
2087	令	009	5	レイ
2088	礼	113	5	レイ、ライ
2089	冷	015	7	レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
2090	励	019	7	レイ、はげ-む、はげ-ます
2091	戻	063	7	レイ、もど-す、もど-る
2092	例	009	8	レイ、たと-える
2093	鈴	167	13	レイ、リン、すず
2094	零	173	13	レイ
2095	霊	173	15	レイ、リョウ、たま
2096	隷	171	16	レイ
2097	齢	211	17	レイ
2098	麗	198	19	レイ、うるわ-しい
2099	暦	072	14	レキ、こよみ
2100	歴	077	14	レキ
2101	列	018	6	レツ
2102	劣	019	6	レツ、おと-る
2103	烈	086	10	レツ
2104	裂	145	12	レツ、さ-く、さ-ける
2105	恋	061	10	レン、こ-う、こい、こい-しい
2106	連	162	10	レン、つら-なる、つら-ねる、つ-れる
2107	廉	053	13	レン
2108	練	120	14	レン、ね-る
2109	錬	167	16	レン
2110	呂	030	7	ロ
2111	炉	086	8	ロ
2112	賂	154	13	ロ
2113	路	157	13	ロ、じ
2114	露	173	21	ロ、ロウ、つゆ
2115	老	125	6	ロウ、お-いる、ふ-ける
2116	労	019	7	ロウ
2117	弄	055	7	ロウ、もてあそ-ぶ
2118	郎	163	9	ロウ
2119	朗	074	10	ロウ、ほが-らか
2120	浪	085	10	ロウ
2121	廊	053	12	ロウ
2122	楼	075	13	ロウ
2123	漏	085	14	ロウ、も-る、も-れる、も-らす
2124	籠	118	22	ロウ、かご、こ-もる
2125	六	012	4	ロク、む、む-つ、むっ-つ、むい
2126	録	167	16	ロク
2127	麓	198	19	ロク、ふもと
2128	論	149	15	ロン
2129	和	030	8	ワ、オ、やわ-らぐ、やわ-らげる、なご-む、なご-やか
2130	話	149	13	ワ、はな-す、はなし
2131	賄	154	13	ワイ、まかな-う
2132	脇	130	10	わき
2133	惑	061	12	ワク、まど-う
2134	枠	075	8	わく
2135	湾	085	12	ワン
2136	腕	130	12	ワン、うで
